[21:56:47] [ServerMain/INFO]: [bootstrap] Running Java 21 (OpenJDK 64-Bit Server VM 21.0.9+10-Ubuntu-124.04; Ubuntu null) on Linux 6.8.0-1030-azure (amd64)
[21:56:47] [ServerMain/INFO]: [bootstrap] Loading Paper 1.21-130-master@b1b5d4c (2024-08-10T10:02:42Z) for Minecraft 1.21
[21:56:48] [ServerMain/INFO]: [PluginInitializerManager] Initializing plugins...
[21:56:49] [ServerMain/INFO]: [PluginInitializerManager] Initialized 2 plugins
[21:56:49] [ServerMain/INFO]: [PluginInitializerManager] Bukkit plugins (2):
 - DayCounter (2.1), OpenInv (4.4.1)
[21:56:55] [ServerMain/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[21:56:58] [ServerMain/INFO]: Loaded 1290 recipes
[21:56:58] [ServerMain/INFO]: Loaded 1399 advancements
[21:56:59] [Server thread/INFO]: Starting minecraft server version 1.21
[21:56:59] [Server thread/INFO]: Loading properties
[21:56:59] [Server thread/INFO]: This server is running Paper version 1.21-130-master@b1b5d4c (2024-08-10T10:02:42Z) (Implementing API version 1.21-R0.1-SNAPSHOT)
[21:57:00] [Server thread/INFO]: [spark] This server bundles the spark profiler. For more information please visit https://docs.papermc.io/paper/profiling
[21:57:00] [Server thread/INFO]: Server Ping Player Sample Count: 12
[21:57:00] [Server thread/INFO]: Using 4 threads for Netty based IO
[21:57:01] [Server thread/WARN]: [!] The timings profiler has been enabled but has been scheduled for removal from Paper in the future.
    We recommend migrating to the spark profiler.
    For more information please visit: https://github.com/PaperMC/Paper/discussions/10565
[21:57:01] [Server thread/INFO]: [ChunkTaskScheduler] Chunk system is using 1 I/O threads, 1 worker threads, and population gen parallelism of 1 threads
[21:57:02] [Server thread/INFO]: Default game type: SURVIVAL
[21:57:02] [Server thread/INFO]: Generating keypair
[21:57:02] [Server thread/INFO]: Starting Minecraft server on *:25565
[21:57:02] [Server thread/INFO]: Using epoll channel type
[21:57:02] [Server thread/INFO]: Paper: Using libdeflate (Linux x86_64) compression from Velocity.
[21:57:02] [Server thread/INFO]: Paper: Using OpenSSL 3.0.x (Linux x86_64) cipher from Velocity.
[21:57:02] [Server thread/INFO]: [OpenInv] Loading server plugin OpenInv v4.4.1
[21:57:02] [Server thread/INFO]: [DayCounter] Loading server plugin DayCounter v2.1
[21:57:02] [Server thread/INFO]: Server permissions file permissions.yml is empty, ignoring it
[21:57:02] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[21:57:02] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[21:57:02] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[21:57:02] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[21:57:02] [Server thread/INFO]: Preparing level "world"
[21:57:03] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[21:57:10] [Server thread/INFO]: Time elapsed: 6722 ms
[21:57:10] [Server thread/INFO]: Preparing start region for dimension minecraft:the_nether
[21:57:15] [Server thread/INFO]: Time elapsed: 5137 ms
[21:57:15] [Server thread/INFO]: Preparing start region for dimension minecraft:the_end
[21:57:21] [Server thread/INFO]: Time elapsed: 6210 ms
[21:57:21] [Server thread/INFO]: [OpenInv] Enabling OpenInv v4.4.1
[21:57:22] [Server thread/WARN]: [OpenInv] Your server version (craftbukkit) is not supported.
[21:57:22] [Server thread/WARN]: [OpenInv] Please download the correct version of OpenInv here: https://github.com/Jikoo/OpenInv/releases
[21:57:22] [Server thread/INFO]: [DayCounter] Enabling DayCounter v2.1
[21:57:22] [Server thread/INFO]: [spark] Starting background profiler...
[21:57:22] [Server thread/INFO]: Done preparing level "world" (20.089s)
[21:57:22] [Server thread/INFO]: Running delayed init tasks
[21:57:22] [Server thread/INFO]: Done (36.620s)! For help, type "help"
[21:57:22] [Server thread/INFO]: Timings Reset
[21:57:27] [User Authenticator #0/INFO]: UUID of player nickj22 is 0d03d207-516d-35e2-b357-16911f5dec02
[21:57:32] [Server thread/INFO]: nickj22 joined the game
[21:57:33] [Server thread/INFO]: nickj22[/127.121.45.82:37131] logged in with entity id 320 at ([world]361.5, 72.5, -739.5)
[22:00:35] [User Authenticator #1/INFO]: UUID of player valen_cho is 17ca5cfc-ad62-3c36-a5c6-7b115ec30170
[22:00:37] [Server thread/INFO]: valen_cho joined the game
[22:00:37] [Server thread/INFO]: valen_cho[/127.253.31.177:49953] logged in with entity id 1283 at ([world]214.29984672476553, 67.0, -794.1480205782343)
[22:02:59] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 0.3152706233558433
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.199282167550791
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.182986717756876
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.173372676706663
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 11.163904203889388
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.19081579590526
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.164771967559268
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.144130515123525
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.119143425430366
[22:03:09] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.109109800583042
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.099267142924646
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.089594789810235
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.080074314292574
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.062637246676559
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.044360312148228
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.025633981580313
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.015613895456227
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.010252347150185
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.010252347150185
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.010252347150185
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.010252347150185
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.010252347150185
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 9.010252347150185
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.963886454063186
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.939076989108571
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.925801939058715
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.918698724452952
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.868532042853303
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.795322958658062
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.709784344249897
[22:03:10] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.61764844404911
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.521982467756288
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.424427618128789
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.325862070039989
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.226755717355786
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.12735999091501
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.027809426346494
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.920734019063161
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.806980299646398
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.683880668459096
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.553695390143275
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.417108327565188
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.277095797866195
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.134205624379206
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.9897756810753435
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.844521837642105
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.698827141676475
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.5528965543104505
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.406839746159221
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.260715399782384
[22:03:11] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.11455491504762
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 5.980951044526478
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 5.892905225781836
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 5.872942286075044
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 5.909226903366871
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 5.949017347074287
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.0019379863700335
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.06680898292886
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.142272640279886
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.323986525976054
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.548250029190395
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 6.803877846078442
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.083729101176584
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.170177363476233
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.216402857145687
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.263375935776792
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.310812104626476
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.35855747196543
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.406528269506421
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.45467839341638
[22:03:12] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.502981981662641
[22:03:13] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.551424061767253
[22:03:13] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.599995530479005
[22:03:13] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.648690458679652
[22:03:13] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.697504644367444
[22:03:13] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.746434835521519
[22:03:13] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.795478312497866
[22:03:13] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 7.94963540095053
[22:03:13] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.042867273834768
[22:03:13] [Server thread/WARN]: Jennifer  (vehicle of nickj22) moved wrongly! 8.06225774829855
[22:04:02] [Server thread/INFO]: nickj22 lost connection: Timed out
[22:04:02] [Server thread/INFO]: nickj22 left the game
[22:18:57] [Server thread/INFO]: Stopping server
[22:18:57] [Server thread/INFO]: [DayCounter] Disabling DayCounter v2.1
[22:18:57] [Server thread/INFO]: [OpenInv] Disabling OpenInv v4.4.1
[22:18:58] [Server thread/INFO]: Saving players
[22:18:58] [Server thread/INFO]: valen_cho lost connection: Server closed
[22:18:58] [Server thread/INFO]: valen_cho left the game
[22:18:58] [Server thread/INFO]: Saving worlds
[22:18:58] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[22:18:58] [Server thread/INFO]: [ChunkHolderManager] Waiting 60s for chunk system to halt for world 'world'
[22:18:58] [Server thread/INFO]: [ChunkHolderManager] Halted chunk system for world 'world'
[22:18:58] [Server thread/INFO]: [ChunkHolderManager] Saving all chunkholders for world 'world'
[22:18:59] [Server thread/INFO]: [ChunkHolderManager] Saved 80 block chunks, 347 entity chunks, 0 poi chunks in world 'world' in 1.15s
[22:18:59] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world_nether]'/minecraft:the_nether
[22:18:59] [Server thread/INFO]: [ChunkHolderManager] Waiting 60s for chunk system to halt for world 'world_nether'
[22:18:59] [Server thread/INFO]: [ChunkHolderManager] Halted chunk system for world 'world_nether'
[22:18:59] [Server thread/INFO]: [ChunkHolderManager] Saving all chunkholders for world 'world_nether'
[22:19:00] [Server thread/INFO]: [ChunkHolderManager] Saved 25 block chunks, 101 entity chunks, 0 poi chunks in world 'world_nether' in 0.55s
[22:19:00] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world_the_end]'/minecraft:the_end
[22:19:00] [Server thread/INFO]: [ChunkHolderManager] Waiting 60s for chunk system to halt for world 'world_the_end'
[22:19:00] [Server thread/INFO]: [ChunkHolderManager] Halted chunk system for world 'world_the_end'
[22:19:00] [Server thread/INFO]: [ChunkHolderManager] Saving all chunkholders for world 'world_the_end'
[22:19:00] [Server thread/INFO]: [ChunkHolderManager] Saved 1 block chunks, 37 entity chunks, 0 poi chunks in world 'world_the_end' in 0.12s
[22:19:00] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[22:19:00] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[22:19:00] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[22:19:00] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
